,ABF File,Data Type,Exp. Date,Case #,Cell #,Cell Layer,Stim Type,Threshold,Gain Value,ZD,Hold,,Gain,Offset,Response Channel,Command Channel,RMP,Stimulus type
154,18329044,Human,March_29_2018,n.a,C9.2,L23-Int,Firing,n.a,n.a,n.a,n.a,,1,-19,Iclamp(mV),Current_in(pA),-69.7,Long_Square
158,18o22001,Human,October_ 22_2018,n.a,C1,L23,Firing,n.a,n.a,n.a,n.a,,20,-26,Iclamp(mV),Current_in(pA),-74.5,Long_Square
163,18o22010,Human,October_ 22_2018,n.a,C2,L23,Firing,n.a,n.a,n.a,n.a,,20,-28,Iclamp(mV),Current_in(pA),-71.6,Long_Square
168,18o22020,Human,October_ 22_2018,n.a,C3,L23,Firing,n.a,n.a,n.a,n.a,,20,-20,Iclamp(mV),Current_in(pA),-68.4,Long_Square
1,18320006,Human,March_20_2018,First,C1,L23,Gain,n.a,20,n.a,n.a,,,,,,,
2,18320007,Human,March_20_2018,First,C1,L23,Gain,n.a,20,n.a,n.a,,,,,,,
10,18320010,Human,March_20_2018,First,C1,L23,Gain,n.a,40,n.a,n.a,,,,,,,
14,18320016,Human,March_20_2018,First,C2,L23,Gain,n.a,20,n.a,n.a,,,,,,,
15,18320017,Human,March_20_2018,First,C2,L23,Gain,n.a,20,n.a,n.a,,,,,,,
16,18320018,Human,March_20_2018,First,C2,L23,Gain,n.a,40,n.a,n.a,,,,,,,
20,18320022,Human,March_20_2018,First,C3,L23,Gain,n.a,20,n.a,n.a,,,,,,,
24,18320006,Human,March_20_2018,Second,C1,L23,Gain,n.a,20,n.a,n.a,,,,,,,
25,18320007,Human,March_20_2018,Second,C1,L23,Gain,n.a,20,n.a,n.a,,,,,,,
26,18320008,Human,March_20_2018,Second,C1,L23,Gain,n.a,20,n.a,n.a,,,,,,,
27,18320009,Human,March_20_2018,Second,C1,L23,Gain,n.a,20,n.a,n.a,,,,,,,
28,18320011,Human,March_20_2018,Second,C1,L23,Gain,n.a,40,n.a,n.a,,,,,,,
31,18320015,Human,March_20_2018,Second,C2,L23,Gain,n.a,20,n.a,n.a,,,,,,,
34,18320020,Human,March_20_2018,Second,C3,L23,Gain,n.a,40,n.a,n.a,,,,,,,
37,18320028,Human,March_20_2018,Second,C4,L23,Gain,n.a,20,n.a,n.a,,,,,,,
38,18320029,Human,March_20_2018,Second,C4,L23,Gain,n.a,20,n.a,n.a,,,,,,,
39,18320027,Human,March_20_2018,Second,C4,L23,Gain,n.a,40,n.a,n.a,,,,,,,
47,18417017,Human,April_17_2018,n.a,C2,L23,Gain,n.a,40,n.a,n.a,,,,,,,
48,18417018,Human,April_17_2018,n.a,C2,L23,Gain,n.a,40,n.a,n.a,,,,,,,
49,18417019,Human,April_17_2018,n.a,C2,L23,Gain,n.a,40,n.a,n.a,,,,,,,
52,18417025,Human,April_17_2018,n.a,C3,L23,Gain,n.a,40,n.a,n.a,,,,,,,
53,18417026,Human,April_17_2018,n.a,C3,L23,Gain,n.a,40,n.a,n.a,,,,,,,
54,18417030,Human,April_17_2018,n.a,C3,L23,Gain,n.a,40,n.a,n.a,,,,,,,
55,18417031,Human,April_17_2018,n.a,C3,L23,Gain,n.a,40,n.a,n.a,,,,,,,
58,18417043,Human,April_17_2018,n.a,C5,L23,Gain,n.a,40,n.a,n.a,,,,,,,
59,18417046,Human,April_17_2018,n.a,C5,L23,Gain,n.a,40,n.a,n.a,,,,,,,
65,18426011,Human,April_26_2018,n.a,C1,L23,Gain,n.a,40,n.a,n.a,,,,,,,
66,18426013,Human,April_26_2018,n.a,C1,L23,Gain,n.a,40,n.a,n.a,,,,,,,
67,18426014,Human,April_26_2018,n.a,C1,L23,Gain,n.a,50,n.a,n.a,,,,,,,
72,18426007,Human,April_26_2018,n.a,C2,L23,Gain,n.a,40,n.a,n.a,,,,,,,
73,18426018,Human,April_26_2018,n.a,C2,L23,Gain,n.a,40,n.a,n.a,,,,,,,
74,18426019,Human,April_26_2018,n.a,C2,L23,Gain,n.a,70,n.a,n.a,,,,,,,
78,18201007,Human,Feb_01_2018,n.a,C1,L5,Gain,n.a,20,n.a,n.a,,,,,,,
79,18201008,Human,Feb_01_2018,n.a,C1,L5,Gain,n.a,20,n.a,n.a,,,,,,,
82,18201012,Human,Feb_01_2018,n.a,C3,L5,Gain,n.a,20,n.a,n.a,,,,,,,
83,18201013,Human,Feb_01_2018,n.a,C3,L5,Gain,n.a,20,n.a,n.a,,,,,,,
84,18201017,Human,Feb_01_2018,n.a,C3,L5,Gain,n.a,20,n.a,n.a,,,,,,,
85,18201018,Human,Feb_01_2018,n.a,C3,L5,Gain,n.a,20,n.a,n.a,,,,,,,
86,18201019,Human,Feb_01_2018,n.a,C3,L5,Gain,n.a,40,n.a,n.a,,,,,,,
87,18201020,Human,Feb_01_2018,n.a,C3,L5,Gain,n.a,40,n.a,n.a,,,,,,,
88,18201021,Human,Feb_01_2018,n.a,C3,L5,Gain,n.a,40,n.a,n.a,,,,,,,
90,18201025,Human,Feb_01_2018,n.a,C4,L5,Gain,n.a,20,n.a,n.a,,,,,,,
91,18201028,Human,Feb_01_2018,n.a,C4,L5,Gain,n.a,20,n.a,n.a,,,,,,,
94,18201030,Human,Feb_01_2018,n.a,C5,L5,Gain,n.a,20,n.a,n.a,,,,,,,
95,18201031,Human,Feb_01_2018,n.a,C5,L5,Gain,n.a,20,n.a,n.a,,,,,,,
96,18201032,Human,Feb_01_2018,n.a,C5,L5,Gain,n.a,20,n.a,n.a,,,,,,,
97,18201033,Human,Feb_01_2018,n.a,C5,L5,Gain,n.a,20,n.a,n.a,,,,,,,
100,18220005,Human,Feb_20_2018,n.a,C2,L23,Gain,n.a,20,n.a,n.a,,,,,,,
103,18220009,Human,Feb_20_2018,n.a,C3,L23,Gain,n.a,20,n.a,n.a,,,,,,,
104,18220010,Human,Feb_20_2018,n.a,C3,L23,Gain,n.a,20,n.a,n.a,,,,,,,
105,18220011,Human,Feb_20_2018,n.a,C3,L23,Gain,n.a,20,n.a,n.a,,,,,,,
106,18220014,Human,Feb_20_2018,n.a,C3,L23,Gain,n.a,40,n.a,n.a,,,,,,,
107,18220015,Human,Feb_20_2018,n.a,C3,L23,Gain,n.a,40,n.a,n.a,,,,,,,
110,18220020,Human,Feb_20_2018,n.a,C4,L23,Gain,n.a,20,n.a,n.a,,,,,,,
112,18125012,Human,Jan_25_2018,n.a,C3,L5,Gain,n.a,20,n.a,n.a,,,,,,,
113,18125013,Human,Jan_25_2018,n.a,C3,L5,Gain,n.a,20,n.a,n.a,,,,,,,
114,18125005,Human,Jan_25_2018,n.a,C3,L5,Gain,n.a,40,n.a,n.a,,,,,,,
115,18125006,Human,Jan_25_2018,n.a,C3,L5,Gain,n.a,40,n.a,n.a,,,,,,,
116,18125007,Human,Jan_25_2018,n.a,C3,L5,Gain,n.a,40,n.a,n.a,,,,,,,
117,18125008,Human,Jan_25_2018,n.a,C3,L5,Gain,n.a,40,n.a,n.a,,,,,,,
