,adapt,avg_rate,first_isi,isi_cv,latency,mean_isi,median_isi,stim_amp,threshold_v,peak_v,trough_v,fast_trough_v,adp_v,width,upstroke_downstroke_ratio,peak_t,fast_trough_t,trough_t,rheo_first_isi,v_baseline,rheobase_i,fi_fit_slope,sag,vm_for_sag,input_resistance,tau
19320017.nwb,0.23265326133394953,2.5,0.06180000000000002,0.37204223239943146,0.044399999999999995,0.10776666666666666,0.10199999999999998,150.0,-31.875293731689453,27.731639862060547,-65.26152038574219,-39.90752410888672,,0.0028000000000000247,2.0931109550336697,0.5593,0.5665,0.9471,,-63.793605355655444,100.0,0.02008928550019552,0.8235856890678406,-63.479305267333984,128.1777954101564,
19320001.nwb,0.3075383732861999,3.125,0.0189,0.5316789502367263,0.0335,0.10097499999999998,0.11545,150.0,-35.53779602050781,38.83964920043945,-35.96504211425781,-35.84297180175781,,0.0025000000000000022,3.1657661310072647,0.2931,0.2988,0.299,0.030500000000000027,-55.632836285759424,100.0,0.022321428396263856,0.9670814871788025,-55.23994064331055,112.90512084960928,
19228058.nwb,,1.25,0.020899999999999974,0.0,0.0499,0.020899999999999974,0.020899999999999974,100.0,-37.72197723388672,21.579784393310547,-37.36796951293945,-37.06279373168945,,0.003500000000000003,3.094969720496838,0.4872,0.4961,0.4972,0.026000000000000023,-55.205246196073645,50.0,0.012053571413974359,1.6722267866134644,-55.33671951293945,137.02507019042955,
19129072.nwb,0.10708611716020139,6.25,0.0058,0.3324723790350261,0.0015000000000000013,0.06352222222222222,0.0686,100.0,-37.76982879638672,20.93379020690918,-33.99785232543945,-33.99785232543945,,0.0020000000000000018,2.4225882188548673,0.257,0.2608,0.2607,0.008000000000000007,-58.89602954571064,50.0,0.02499999999999998,-0.4943769574165344,-56.45879364013672,194.06173706054693,
19129058.nwb,0.09531541149203546,4.375,0.04340000000000002,0.28997613663051885,0.016599999999999976,0.08831666666666667,0.09640000000000001,150.0,-35.19072341918945,16.93330192565918,-39.30449676513672,-39.07256317138672,,0.003500000000000003,2.4107760687759487,0.2745,0.2834,0.3048,0.13839999999999997,-57.29489517211914,100.0,0.0064285711047113855,0.7698792219161987,-57.55400848388672,124.39857482910166,
19320007.nwb,0.1781723342158435,2.5,0.09989999999999999,0.283699115829967,0.021199999999999997,0.15186666666666665,0.1503,200.0,-38.216209411621094,34.452247619628906,-46.00429916381836,-40.80410385131836,,0.0025000000000000022,2.9243032040257777,0.2647,0.271,0.3093,0.30879999999999996,-56.19793925565832,150.0,0.014285713963930236,1.5488293170928955,-55.69668197631836,70.99777221679678,
19328039.nwb,0.11547455171285215,7.5,0.008800000000000002,0.5438036425732196,0.002599999999999991,0.049990909090909086,0.06130000000000002,100.0,-34.69111251831055,36.37822341918945,-37.04706954956055,-37.03486633300781,,0.0013000000000000234,1.9657796114450392,0.2359,0.2385,0.2384,0.00789999999999999,-52.91708221435547,50.0,0.01165393024353723,1.015690565109253,-51.64667892456055,197.09228515624972,
19319025.nwb,0.13988167883054098,4.375,0.034300000000000025,0.4087178467069879,0.005499999999999977,0.08308333333333333,0.0821,150.0,-43.01582336425781,23.658987045288086,-44.39521408081055,-44.24873352050781,,0.0030999999999999917,2.837373695610988,0.2312,0.2381,0.2389,0.07899999999999999,-58.9464225769043,100.0,0.02107142853925007,-2.96284818649292,-58.68965148925781,142.3043060302732,
19128040.nwb,0.16959303136984324,2.5,0.04730000000000001,0.26663550956831705,0.034499999999999975,0.07173333333333333,0.07390000000000002,150.0,-42.352149963378906,26.83730697631836,-41.90049362182617,-41.90049362182617,,0.0016999999999999793,2.0844765503441507,0.216,0.2198,0.2198,0.06099999999999997,-57.21558200611788,100.0,-0.0024999985504147427,1.5988341569900513,-56.951759338378906,153.75251770019543,
19128068.nwb,0.5904095904095906,1.875,0.08199999999999996,0.5904095904095906,0.0504,0.20020000000000002,0.20020000000000002,249.99998474121094,-35.18037033081055,38.59893035888672,-55.99335861206055,-35.40010070800781,,0.0025000000000000022,3.61219470266814,0.3171,0.3259,0.9298,,-53.913972293629364,200.0,0.01874999938964833,0.12365243583917618,-53.57637023925781,49.60006713867159,
19129014.nwb,0.3258202480083238,3.125,0.021800000000000014,0.6361267609797722,0.029199999999999976,0.10345000000000001,0.10685,100.0,-38.17852020263672,34.84394836425781,-55.86650466918945,-38.69121551513672,,0.0025999999999999357,3.29644343138109,0.5123,0.5187,0.9232,,-53.83659362792969,50.0,0.010119047556334327,4.159897804260254,-53.71807098388672,127.18833923339825,
19122026.nwb,0.017450310405546992,4.375,0.09739999999999999,0.13760163756118862,0.00269999999999998,0.09385,0.0928,100.0,-42.15273666381836,19.480567932128906,-36.95254135131836,-36.78164291381836,,0.0027000000000000357,3.0754293038882006,0.2591,0.2647,0.265,0.017100000000000004,-53.24924683570862,50.0,0.00472689075630252,0.8019733428955078,-53.407615661621094,145.10910034179682,
19328001.nwb,-0.007175707439050482,4.375,0.09620000000000004,0.07035763088819114,0.005499999999999977,0.0857,0.08510000000000001,150.0,-41.69091796875,22.481447219848633,-37.83349609375,-37.63818359375,,0.0025000000000000022,2.9209453923256,0.2327,0.2379,0.2383,0.014800000000000008,-57.071185168098,100.0,0.010714285539121021,0.31439921259880066,-56.656742095947266,119.39430236816395,
19129037.nwb,0.052740200796260926,5.0,0.05360000000000001,0.21438924770262413,0.016999999999999987,0.07764285714285714,0.07190000000000002,100.0,-38.17686080932617,33.429588317871094,-55.02256393432617,-40.17881393432617,,0.0030000000000000027,3.162362057765511,0.4914,0.5023,1.0033,,-53.99179916381836,50.0,0.0025000004577637055,0.6723899841308594,-53.04502487182617,136.89468383789043,
19228030.nwb,0.07729683531133309,5.625,0.04039999999999999,0.46913825703048484,0.013299999999999979,0.0677375,0.05559999999999998,150.0,-31.726564407348633,37.12109375,-38.452640533447266,-37.952152252197266,,0.002599999999999991,2.912025528224842,0.3118,0.3181,0.3198,0.04560000000000003,-53.94788293277516,100.0,0.00937499963020789,3.835291624069214,-53.97998046875,177.54615783691384,
19122003.nwb,0.06407360682712301,5.625,0.03390000000000001,0.27339072190000063,-0.00010000000000001674,0.06417777777777778,0.06340000000000007,100.0,-39.41435623168945,18.227245330810547,-42.39287185668945,-40.17119598388672,,0.0030000000000000027,2.9378562611851518,0.2377,0.2459,0.2708,0.08120000000000002,-58.510512847900394,50.0,0.0033333335614444985,3.0695314407348633,-58.31084442138672,209.9609375,
19328019.nwb,0.08297198727964994,5.0,0.029000000000000026,0.308883863516453,0.023299999999999987,0.06908571428571428,0.06920000000000004,100.0,-42.41621017456055,8.218555450439453,-40.98799133300781,-40.67060852050781,,0.004200000000000037,3.4332596208709996,0.3372,0.3499,0.3547,0.03859999999999997,-58.53083318074544,50.0,0.003759398600616966,1.1742690801620483,-56.80830383300781,191.53923034667946,
19320041.nwb,0.19590747818512919,5.0,0.009599999999999997,0.5556381184894361,0.003599999999999992,0.07374285714285714,0.09060000000000001,150.0,-36.826072692871094,15.249120712280273,-33.652244567871094,-33.383689880371094,,0.0023000000000000242,2.151149936605043,0.229,0.234,0.2347,0.0126,-51.94712650074678,100.0,0.01964285704554339,0.6368220448493958,-52.04824447631836,122.99606323242185,
19129022.nwb,0.2289590409413092,3.75,0.02009999999999998,0.5409411777078049,0.021400000000000002,0.08343999999999999,0.09350000000000003,350.0,-33.69550704956055,41.75615692138672,-35.45331954956055,-35.40449142456055,,0.0018000000000000238,2.297058483759274,0.2537,0.2578,0.258,0.0393,-55.688855563893036,300.0,0.037500000000000026,0.3490733206272125,-55.47285461425781,43.522186279296555,
19128061.nwb,0.4171198767882578,2.5,0.05180000000000001,0.6464971928531877,0.0237,0.16426666666666667,0.13429999999999997,249.99998474121094,-38.64697265625,41.199222564697266,-39.13525390625,-36.2177734375,,0.0024000000000000132,3.866428616973241,0.2541,0.2612,0.3186,0.1079,-55.23375208237592,200.0,0.01624999938964835,0.6022040843963623,-54.931156158447266,47.98171997070297,
19129024.nwb,,1.25,0.013800000000000007,0.0,0.0421,0.013800000000000007,0.013800000000000007,200.0,-35.70439529418945,42.07881164550781,-57.06669998168945,-34.30058670043945,,0.0020000000000000018,2.9893248680665296,0.3427,0.3476,0.9055,,-54.494855768540326,150.0,0.019642856981965058,1.4807981252670288,-54.39336395263672,53.89686584472619,
19328009.nwb,0.15668648720386077,5.625,0.015100000000000002,0.6548656921643042,0.010499999999999982,0.060950000000000004,0.051449999999999996,100.0,-36.85595703125,30.343751907348633,-36.562992095947266,-36.562992095947266,,0.002599999999999991,3.448947264754044,0.3135,0.3191,0.3191,0.021099999999999952,-52.691828335032746,50.0,0.00714285729855906,1.9994734525680542,-52.688480377197266,147.0747375488278,
19328034.nwb,0.09564293378273547,5.625,0.025499999999999995,0.3832973118285565,9.999999999998899e-05,0.07135,0.08235000000000003,100.0,-39.81279754638672,13.470898628234863,-40.94804763793945,-40.89921951293945,,0.0030000000000000027,2.505788087151179,0.228,0.235,0.2361,0.06260000000000002,-52.8437713174259,50.0,0.007695143563558191,2.203472137451172,-52.03203582763672,226.98219299316386,
19129040.nwb,0.10502321180678648,5.0,0.033,0.3747964056331947,0.007599999999999996,0.07878571428571428,0.08909999999999996,200.0,-34.515625,31.951662063598633,-39.21533203125,-39.1298828125,,0.0025000000000000022,2.2545822578869807,0.2292,0.2345,0.2347,0.07229999999999998,-56.32509568158318,150.0,0.002857142661996432,1.52922523021698,-55.670413970947266,105.45448303222639,
19328046.nwb,0.0484891246627946,5.625,0.0403,0.2058135205349232,0.0262,0.0640625,0.06785,100.0,-41.124610900878906,12.146876335144043,-45.04307174682617,-44.93320846557617,,0.002799999999999997,2.299161525392734,0.2137,0.2207,0.2213,0.06119999999999998,-54.58501322129194,50.0,0.012755192666223113,1.774088740348816,-52.69688034057617,255.65757751464824,
19320022.nwb,0.23016189061375322,3.125,0.03459999999999999,0.4995080033703318,0.015999999999999986,0.08072500000000002,0.07355,200.0,-39.714942932128906,37.06728744506836,-42.25400924682617,-42.05869674682617,,0.0024999999999999745,2.7302667647132246,0.2411,0.2465,0.2469,0.05740000000000001,-63.85552439970129,150.0,0.01392857114934591,1.4600534439086914,-63.836036682128906,96.19461059570291,
19129043.nwb,0.1040968269070225,5.625,0.023900000000000005,0.37358570462258023,0.0021999999999999797,0.0652625,0.066,150.0,-36.73505783081055,33.91924285888672,-39.21308898925781,-39.05439376831055,,0.0023999999999999855,2.5379884726169224,0.2305,0.236,0.2371,0.06539999999999999,-57.24048124040876,100.0,-0.01874999942779505,0.369213342666626,-55.74140548706055,128.6271667480466,
19228044.nwb,0.1416447158653598,5.625,0.015899999999999997,0.5147948234972539,0.005299999999999999,0.063025,0.0668,150.0,-38.887794494628906,36.11220932006836,-42.073829650878906,-41.80527877807617,,0.0020000000000000018,2.557997263183218,0.2324,0.2373,0.2375,0.02250000000000002,-56.02726812923656,100.0,0.025446428376801108,1.425980806350708,-55.257423400878906,140.01106262207003,
19320025.nwb,,1.25,0.011800000000000005,0.0,0.015699999999999992,0.011800000000000005,0.011800000000000005,249.99998474121094,-39.30322265625,34.329593658447266,-35.055179595947266,-34.933109283447266,,0.0025000000000000022,3.1332290060738965,0.2477,0.2528,0.254,0.0131,-55.77199374928194,200.0,0.01249999977111808,0.6258842945098877,-55.575199127197266,63.47038269042961,
19128006.nwb,0.1676281125814734,3.125,0.061700000000000005,0.3355605005809862,0.03569999999999998,0.125575,0.1341,200.0,-36.77354049682617,39.703514099121094,-39.349220275878906,-37.75010299682617,,0.0023000000000000242,3.2404572594402214,0.2864,0.2932,0.332,0.14300000000000002,-55.78855109214783,150.0,0.021249999694824058,1.581539273262024,-54.76670455932617,68.79890441894518,
19228068.nwb,0.10710957575583477,4.375,0.036500000000000005,0.3213982274041011,0.0016999999999999793,0.0806,0.09339999999999998,150.0,-40.752933502197266,28.717287063598633,-43.76806640625,-43.731449127197266,,0.002700000000000008,2.9813837587193794,0.2244,0.2308,0.231,0.06190000000000001,-53.94897214104147,100.0,0.017857142662515407,0.44536036252975464,-53.777835845947266,122.33016967773395,
19320030.nwb,0.9130657120940938,1.875,0.016999999999999987,0.9130657120940936,0.037699999999999984,0.19555,0.19555,150.0,-36.444435119628906,38.10390853881836,-59.99180221557617,-39.239845275878906,,0.0021999999999999797,2.580109627840112,0.3215,0.3262,0.9623,,-54.860681646010455,100.0,0.023214285597509217,0.4252772033214569,-53.92490768432617,118.70445251464825,
19129047.nwb,0.08652954563375502,5.0,0.030200000000000005,0.2948247997024687,0.009999999999999981,0.06717142857142858,0.07200000000000001,249.99998474121094,-36.826560974121094,39.95566940307617,-39.78066635131836,-39.73183822631836,,0.0022999999999999965,2.6098574830165293,0.2326,0.2374,0.2378,0.05210000000000001,-57.16393190271714,200.0,0.01874999938964834,0.3049996793270111,-57.13906478881836,65.63171386718746,
2019_11_28_0010.nwb,-0.0866197183098592,1.875,0.1543,0.0866197183098592,0.09375,0.142,0.142,150.0,-39.61181640625,41.07666015625,-66.741943359375,-42.90771484375,,0.002599999999999991,3.108884142175765,0.3856,0.39355,0.8365,,-54.95674065181187,100.0,0.015357140978339632,2.377549171447754,-62.896728515625,33.164978027343345,
