,adapt,avg_rate,first_isi,isi_cv,latency,mean_isi,median_isi,stim_amp,threshold_v,peak_v,trough_v,fast_trough_v,adp_v,width,upstroke_downstroke_ratio,peak_t,fast_trough_t,trough_t,rheo_first_isi,v_baseline,rheobase_i,fi_fit_slope,sag,vm_for_sag,input_resistance,tau
18118024.nwb,0.0074338355118620005,15.625,0.019100000000000006,0.10624544477791138,0.020199999999999996,0.021947916666666668,0.021974999999999995,200.0,-8035.41943359375,17141.58203125,-17514.181640625,-17501.974609375,,0.0012999999999999956,1.0312403978693307,0.23205,0.2346,0.2347,0.023499999999999993,-24182.154235839844,150.0,0.0037499979400634166,0.03652431443333626,-9500.2646484375,6894.609374999908,
18208014.nwb,0.012598769196021344,6.25,0.0711,0.07944245083635566,0.030799999999999994,0.08222222222222222,0.08509999999999995,59.999996185302734,-36.76044845581055,46.55254364013672,-46.83124923706055,-32.48798751831055,-32.48798751831055,0.0031999999999999806,3.1192549170206605,0.5141,0.5232,0.6181,0.4821,-58.181404260488655,20.0,0.02748724496761794,-158.12454223632812,-90.16622161865234,434.8755180835724,
18208024.nwb,,1.25,0.1587,0.0,0.0731,0.1587,0.1587,100.0,-27.777637481689453,43.32832336425781,-37.23808670043945,-28.998340606689453,,0.004300000000000026,4.014006199541417,0.2838,0.3049,0.3425,0.24509999999999998,-66.03866585095723,59.999996185302734,-0.010937499746680252,-480.0918884277344,-106.81816864013672,450.1343071460724,
2018_02_08_0001.nwb,-0.01418436043821269,5.0,0.11550000000000002,0.061152792154673175,0.010499999999999982,0.10571428571428572,0.10369999999999996,100.0,-33.362308502197266,57.27490234375,-44.043460845947266,-23.291505813598633,,0.0024000000000000132,3.5913237876173736,0.2978,0.3037,0.3738,0.2469,-53.71354123524257,59.999996185302734,0.023065476217354188,-30.285552978515625,-102.63720703125,320.4346001148224,
18130014.nwb,0.028984683781578324,5.0,0.08909999999999998,0.11009753107172683,0.0194,0.11028571428571428,0.11060000000000003,110.0,-35.64678192138672,40.64716720581055,-50.90557098388672,-37.78301239013672,-36.86748504638672,0.003200000000000036,4.830072963668721,0.3127,0.3222,0.3629,0.17120000000000002,-54.383798599243164,70.0,0.046875,86.50686645507812,-98.20781707763672,465.39306640625,
